# =============================================================================
# {All-in-One Deluxe Edition}-yuanze31
# =============================================================================

# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================

# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新日志
object_showerpillar	淋浴柱

object_doorMat	门垫

object_GuardPavilion	警卫亭
object_GuardPavilionCorner	警卫亭（角落）

object_OfficeChair	椅子（办公室）

object_visitorDoor	探视门
object_ironingBoardShort	熨衣板（小）
object_fencegatestaff	栅栏门（工作人员）
object_fencegatestandard	栅栏门（标准）
object_fencegatevisitor	栅栏门（访客）

object_walllight	壁灯
object_securedoor	门（安全）
object_secretdoor	门（隐蔽）

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud	这是泥土，可免费使用！
buildtoolbar_popup_mat_yutaniwall	在地基上建造具有高科技外观的墙壁，以创建新区域或房间，太空风格地面或 Solaco 地面更适合。

buildtoolbar_popup_mat_newbblockwall	在地基上用煤砖建造墙壁，以创建新区域或房间。
buildtoolbar_popup_mat_newbarredwall	在基地上建造有栅栏的墙壁，以创建新区域或房间。
buildtoolbar_popup_mat_newtiledwall	在基地上建造贴有瓷砖的墙壁，以创建新区域或房间。
buildtoolbar_popup_mat_newhedgewall	长但是脆弱的树篱。这个方案美观，但不怎么安全。

buildtoolbar_popup_mat_solacofloor	为我们的监狱地面打造一个高科技外观。Yutani 墙壁更适合。
buildtoolbar_popup_mat_gratefloor	为我们的监狱地面打造一个高科技外观。
buildtoolbar_popup_mat_newcargofloor	为我们的监狱地面打造一个定制外观。
buildtoolbar_popup_mat_newironfloor	为我们的监狱地面打造一个定制外观。
buildtoolbar_popup_mat_newcheckeredfloor	这种材料在你的厨房或客厅可能会很好看。
buildtoolbar_popup_mat_snow	很像水，只是色调更冷，更漂亮。

buildtoolbar_popup_obj_snowyconifertree	在雪地上看起来最合适。

buildtoolbar_popup_obj_palmtree	一般生长在旱地上，但是你现在可以决定将它们种在任意你想种的地方。

buildtoolbar_popup_obj_bush	为户外区域做一些装饰。

buildtoolbar_popup_obj_streetlamp	照亮大道和小径。

buildtoolbar_popup_obj_floodlight	高大室外灯，可以照亮庭院等大型区域。

buildtoolbar_popup_obj_bleachers	典型的监狱庭院露天看台，供一群囚犯坐在这里思考接下来做什么。
buildtoolbar_popup_obj_smallbench	可以坐在上面。
buildtoolbar_popup_obj_smalltable	可以在这里吃饭。
buildtoolbar_popup_obj_showerpillar	放在淋浴间的中间，然后在两边各安一个花洒喷头。

buildtoolbar_popup_obj_doorMat	便宜的橡胶门垫，放在门口应该不错。

buildtoolbar_popup_obj_guardPavilion	放在庭院和开放区域，供警卫和武装警卫监视你的囚犯。\n	通过部署菜单安排警卫。\n - 增加该区域的镇压等级。\n - 警卫不受天气影响。
buildtoolbar_popup_obj_guardPavilionCorner	放在庭院和开放区域的角落，供警卫和武装警卫监视你的囚犯。\n	通过部署菜单分配警卫。\n - 增加该区域的镇压等级。\n - 警卫不受天气影响。

buildtoolbar_popup_obj_officeChair	椅子，供工作人员坐在办公桌中央。

buildtoolbar_popup_obj_visitorDoor	门，允许监狱探视者自行通过，不需要警卫来开门。警卫和工作人员也可以使用这扇门，但囚犯不能用。
buildtoolbar_popup_obj_ironingBoardShort	把‘囚服(皱)’变成‘囚服(待穿)’。\n\n每件囚服花费3分钟。\n3.33个熨衣板可以搭配1台洗衣机。\n\n如果积压了20件 囚服(待穿)，\n熨衣板将无法继续工作。\n\n安装时，注意留出给人的额外格子。\n\n对人的行走速度影响大(0.6倍)。\n\n每20（甚至更多）个囚犯才需要1个熨衣板。
buildtoolbar_popup_obj_fencegatestaff	大门，装上栅栏看起来很棒，功能和门一样。
buildtoolbar_popup_obj_fencegatestandard	大门，装上栅栏看起来很棒，功能和门一样。
buildtoolbar_popup_obj_fencegatevisitor	大门，装上栅栏看起来很棒，功能和门一样。

buildtoolbar_popup_obj_walllight	地堡风格灯，可以安在墙壁上。
buildtoolbar_popup_obj_securedoor	禁闭室专用门，附带食物专用小门。负责分发食物的警卫可以用小门传递托盘，无需进入禁闭室。

interfacedeployment_guards	一般警卫驻守
buildtoolbar_deployment_Guards	将警卫指派至你监狱里的区块。

interfacedeployment_Dogs	分配警犬训练员
buildtoolbar_deployment_Dogs	将警犬训练员分配至你监狱里的区块。

interfacedeployment_ArmedGuards	分配武装警卫
buildtoolbar_deployment_ArmedGuards	将武装警卫分配至你监狱里的区块。

interfacedeployment_patrols	一般警卫巡逻
buildtoolbar_deployment_Patrols	将警卫分配至你监狱的巡逻路线。

interfacedeployment_dogpatrols	警犬巡逻
buildtoolbar_deployment_DogPatrols	将警犬训练员分配至你监狱的巡逻路线。

interfacedeployment_armedpatrols	武装警卫巡逻
buildtoolbar_deployment_ArmedPatrols	将武装警卫分配至你监狱的巡逻路线。

buildtoolbar_popup_help_Guards_1	警卫工具可以让你在每个区域驻扎警卫。驻扎警卫会在所分配的区域随意走动，也会执行该区域的所有警卫工作，例如开门。\n\n
buildtoolbar_popup_help_Guards_2	~按左键增加区域内驻扎的警犬训练员人数。按右键移除警卫。\n\n
buildtoolbar_popup_help_Guards_3	^提示
buildtoolbar_popup_help_Guards_4	- 若你解鎖微觀管理功能，你可使用部署調度器。這可以讓你制定守衛分配至特定區域的時間表。例如，若你只想要在吃飯時間部署守衛在餐廳，你可以選取調度器上每一個與吃飯時間一致的時間區塊，然後移動時間橫條至該區塊，再點擊餐廳以分配守衛。
buildtoolbar_popup_help_Guards_5	- 共有最多 7 个不同的时间区块供你调度，还有默认的常效模式，让你可以建立复杂的部署程序以符合你监狱的需求。
buildtoolbar_popup_help_Guards_6	- 如果你在分配警犬训练员时，没有手动选择一个时间区块，调度器会使用当下的时间；更改部署时，请确保你选择正确的时间！

buildtoolbar_popup_help_Dogs_1	警犬训练员工具可以让你在每个区域驻扎警犬训练员。驻扎警卫会在所分配的区域随意走动，也会执行该区域的所有警卫工作，例如开门。\n\n
buildtoolbar_popup_help_Dogs_2	~按左键增加区域内驻扎的警犬训练员人数。按右键移除警犬训练员。\n\n
buildtoolbar_popup_help_Dogs_3	^提示
buildtoolbar_popup_help_Dogs_4	- 若你解锁微观管理功能，你可使用部署调度器。这可以让你制定警犬训练员分配至特定区域的时间表。例如，若你只想要在吃饭时间部署警犬训练员在餐厅，你可以选取调度器上每一个与吃饭时间一致的时间区块，然后移动时间横条至该区块，再点击餐厅以分配警犬训练员。
buildtoolbar_popup_help_Dogs_5	- 共有最多 7 个不同的时间区块供你调度，还有默认的常效模式，让你可以建立复杂的部署程序以符合你监狱的需求。
buildtoolbar_popup_help_Dogs_6	- 如果你在分配警犬训练员时，没有手动选择一个时间区块，调度器会使用当下的时间；更改部署时，请确保你选择正确的时间！

buildtoolbar_popup_help_ArmedGuards_1	武装警卫工具可以让你在每个区域驻扎武装警卫。驻扎警卫会在所分配的区域随意走动，也会执行该区域的所有警卫工作，例如开门。\n\n
buildtoolbar_popup_help_ArmedGuards_2	~按左键增加区域内驻扎的警卫人数。按右键移除警卫。\n\n
buildtoolbar_popup_help_ArmedGuards_3	^提示
buildtoolbar_popup_help_ArmedGuards_4	- 若你解锁微观管理功能，你可使用部署调度器。这可以让你制定武装警卫分配至特定区域的时间表。例如，若你只想要在吃饭时间部署武装警卫在餐厅，你可以选取调度器上每一个与吃饭时间一致的时间区块，然后移动时间横条至该区块，再点击餐厅以分配武装警卫。
buildtoolbar_popup_help_ArmedGuards_5	- 共有最多 7 个不同的时间区块供你调度，还有默认的常效模式，让你可以建立复杂的部署程序以符合你监狱的需求。
buildtoolbar_popup_help_ArmedGuards_6	- 如果你在分配武装警卫时，没有手动选择一个时间区块，调度器会使用当下的时间；更改部署时，请确保你选择正确的时间！

interfacedeployment_PrioritizeArea	优先区域 (*X)
buildtoolbar_deployment_PrioritizeGuard	使用此选项，可以优先安排指定的警卫监视你监狱周围的特定区块。如果你人手紧缺，警卫会优先监视你设置的优先区域。有两个优先级别可选，“高”(>>) 和“超高”(>>>)。

interfacedeployment_BluePatrol	蓝色巡逻
buildtoolbar_deployment_BluePatrol	有颜色的巡逻路线允许重叠，你可以为这些线路单独安排警卫。点击拖拽可创建一条蓝色巡逻路线。右击拖拽可清除蓝色巡逻路线。使用“分配警卫”按钮添加警卫至巡逻路线。

interfacedeployment_MagentaPatrol	红色巡逻
buildtoolbar_deployment_MagentaPatrol	有颜色的巡逻路线允许重叠，你可以为这些线路单独安排警卫。点击拖拽可创建一条红色巡逻路线。右击拖拽可清除红色巡逻路线。使用“分配警卫”按钮添加警卫至巡逻路线。

interfacedeployment_PrioritizePatrol	优先巡逻
buildtoolbar_deployment_PrioritizePatrol	使用此选项，可以优先安排指定的警卫监视你监狱周围的特定巡逻路线。如果你人手紧缺，警卫会优先监视你设置的优先巡逻路线。有两个优先级别可选，“高”(>>) 和“超高”(>>>)。

buildtoolbar_popup_filter_title	过滤器列表
buiildtoolbar_popup_filter_toggle	点击按钮进行切换
buildtoolbar_popup_filter_default	默认
buildtoolbar_popup_filter_az	A-Z
buildtoolbar_popup_filter_owned	已拥有
buildtoolbar_popup_filter_costhighlow	费用（从高到低）
buildtoolbar_popup_filter_costlowhigh	费用（从低到高）
buildtoolbar_popup_filter_indooroutdoor	从室内到室外
buildtoolbar_popup_filter_outdoorindoor	从室外到室内
buildtoolbar_popup_filter_quantity	拥有数量
buildtoolbar_popup_filter_byroom	按房间

# =============================================================================
# Interface Mode
# =============================================================================

double_click_move_item	双击：移动物品

double_click_add_door	双击左键添加门。

codex_option_bureaucracyresearched	已调查官僚等级
codex_tooltip_bureaucracyresearched	开始新游戏时，可以彻底官僚等级树。

codex_option_jungle	丛林地块
codex_tooltip_jungle	生成一个形似茂密丛林的起始地块。

codex_option_snowy	冰雪地块
codex_tooltip_snowy	生成一个被雪覆盖的起始地块。

# =============================================================================
# Misc
# =============================================================================
action_WashSmall	洗刷

action_Stretching	锻炼
action_PlayChess	下棋

plant_tree_location	在*X植树

report_intake_cat_SuperMax	超重刑犯

interface_undo	撤消

# =============================================================================
# Codex
# =============================================================================

codex_save_failed	保存监狱失败。
codex_changelog_next	下一步＞
codex_changelog_prev	＜上一步
codex_credits	制作组

codex_options_screenshotmode	截图模式
codex_tooltip_screenshotmode	在截图模式里，按住 [*K] 键不放，再按 [*E] 键，可以关闭/开启所有 UI 和 HUD 界面。
codex_sso_content_message	您已成功注册 Paradox 帐号。\n\n为了表示感谢，游戏已解锁新警卫亭！点开“物品”菜单即可找到。
codex_options_borderless_windowed	无边框
codex_options_monitor	监视器

# =============================================================================
# Things from Gaz that we might be able to squeeze in, that would be useful to translate please
# =============================================================================

codex_options_display_mode	显示模式
codex_options_borderless_fullscreen	无边框全屏
codex_options_display_monitor	显示监视器
codex_options_windowed_resolution	窗口模式的分辨率

############################### PSYCH WARD UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================
material_artdecowall	墙壁（装饰风艺术）
material_blueWall	高级墙壁（蓝色条纹）
material_burgundyWall	高级墙壁（勃艮第色）
material_greenWall	高级墙壁（绿色）
material_orientalWall	墙壁（东方）
material_cushionedwall	墙壁（衬垫）

material_sandstone	砂岩
material_limestonefloor	石灰岩
material_blueCarpet	地毯（蓝色）
material_redCarpet	地毯（红色）
material_brownCarpet	地毯（棕色）
material_paddedfloor	软垫
material_grassstones	草坪石头
material_grasscornerfloor	草坪拐角
material_grasscornerfloor1	草坪拐角
material_grasscornerfloor2	草坪拐角
material_grasscornerfloor3	草坪拐角
material_lunarfloor	月球

# =============================================================================
# Objects - Names
# =============================================================================

object_spookytree	树（阴森可怖）
object_cactustree	树（仙人掌）
object_sakuratree	树（樱花树）
object_plantcactus	植物（仙人掌）
object_tyrestack	轮胎堆
object_lamp	灯（落地灯）
object_bathroomSink	洗手池
object_bathroomHandDryer	干手机
object_chestOfDrawers	抽屉柜
object_woodenStool	木凳
object_woodenTable	木桌
object_bucket	桶
object_shortbookcase	书架（矮）
object_outdoorTable	室外桌
object_mooseHead	驼鹿头
object_toiletSign	标识（厕所）
object_rightArrowSign	标识（右箭头）
object_leftArrowSign	标识（左箭头）
object_infirmarySign	标识（医务室）
object_canteenSign	标识（食堂）
object_showerSign	标识（淋浴间）
object_armourySign	标识（枪械库）
object_jaildoorred	监狱门（红色）
object_jaildoorgrey	监狱门（灰色）
object_jaildoororange	监狱门（橙色）
object_jaildoorYellow	监狱门（黄色）
object_jaildoorlargered	大型监狱门（红色）
object_jaildoorlargegrey	大型监狱门（灰色）
object_jaildoorlargeorange	大型监狱门（橙色）
object_jaildoorlargeyellow	大型监狱门（黄色）
object_coatstand	衣帽架
object_dogbowl	狗狗专用碗
object_footbridge	人行桥
object_footbridgesteel	钢制人行桥
object_footbridgeb	人行桥 B
object_footbridgesteelb	钢制人行桥 B
object_windowclassy	高级窗户
object_windowclassyLarge	高级窗户（大型）
object_gravestone	墓碑
object_psychiatrist	精神科医生
object_orderly	护理人员
object_rorschachTest	罗夏测试
object_anatomyModel	解剖模型
object_flipboard	翻转板
object_medicineCabinetPsych	医药箱
object_leatherchair	皮革椅
object_leatherSofa	皮革沙发
object_parkbench	板凳（公园）
object_fencegateguard	栅栏门（警卫用）
object_oaktable	桌子（橡木）
object_oakbench	板凳（橡木）
object_BoomBoxRoundHouse	立体扬声器

object_classic	经典
object_dalmation	斑点狗
object_husky	哈士奇
object_companion	陪伴
object_cat	猫
object_direwoof	恐狼

equipment_fountainPen	钢笔
equipment_goldPocketWatch	金怀表
equipment_sedativeShot	镇静针（注射）
equipment_sedativesyringe	镇静剂（注射）

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_artdecowall	建造装饰性艺术墙壁，为监狱营造 1920 年代的建筑外观。
buildtoolbar_popup_mat_blueWall	在地基上建造高级墙壁，以创建新的员工区域或房间。
buildtoolbar_popup_mat_burgundywall	在地基上建造高级墙壁，以创建新的员工区域或房间。
buildtoolbar_popup_mat_greenwall	在地基上建造高级墙壁，以创建新的员工区域或房间。
buildtoolbar_popup_mat_orientalwall	建造东方式的墙壁，在监狱中创建古代日本风格的区域。
buildtoolbar_popup_mat_cushionedwall	在地基上建造墙壁部分，以创建具有豪华皮革外观的新区域或房间。
buildtoolbar_popup_mat_sandstone	在室外区域铺设砂岩板。
buildtoolbar_popup_mat_limestonefloor	地板是褪色的石灰色。
buildtoolbar_popup_mat_blueCarpet	铺设舒适地毯，非常适合员工区域。
buildtoolbar_popup_mat_redCarpet	铺设舒适地毯，非常适合员工区域。
buildtoolbar_popup_mat_brownCarpet	铺设舒适地毯，非常适合员工区域。
buildtoolbar_popup_mat_paddedfloor	搭配软垫墙壁，为犯罪精神病囚犯创建完整的软垫牢房。
buildtoolbar_popup_mat_grassstones	带有石板的草地区域。
buildtoolbar_popup_mat_grassscornerfloor	带有泥土的草坪拐角，对于成角度的道路很有用。
buildtoolbar_popup_mat_lunarfloor	具有星际外观的坚硬岩石表面。
buildtoolbar_popup_obj_spookytree	一棵可怕的古树。
buildtoolbar_popup_obj_cactustree	在旱地上看起来最合适。
buildtoolbar_popup_obj_sakuratree	一棵开着粉色花朵的美丽樱花树。
buildtoolbar_popup_obj_plant	一棵令人愉悦的室内植物。
buildtoolbar_popup_obj_plantcactus	一棵室内盆栽仙人掌。
buildtoolbar_popup_obj_tyrestack	充当小型墙壁，囚犯和员工走动时会绕开它。
buildtoolbar_popup_obj_lamp	一盏华丽的落地灯，非常适合办公室和员工区域。
buildtoolbar_popup_obj_bathroomSink	没有它，卫生浴室就不完整
buildtoolbar_popup_obj_bathroomHandDryer	与洗手池完美搭配
buildtoolbar_popup_obj_chestOfDrawers	一个木制抽屉柜。
buildtoolbar_popup_obj_woodenStool	搭配木桌会很棒。
buildtoolbar_popup_obj_woodenTable	搭配木凳会很棒
buildtoolbar_popup_obj_bucket	只是一只桶
buildtoolbar_popup_obj_shortbookcase	一个放书的矮架。
buildtoolbar_popup_obj_outdoorTable	供囚犯坐在室外吃东西。
buildtoolbar_popup_obj_mooseHead	一个手工制作的美丽驼鹿头，装在饰板上。
buildtoolbar_popup_obj_toiletSign	一个带有厕所标识的墙标。
buildtoolbar_popup_obj_rightArrowSign	一个带有右箭头标识的墙标。
buildtoolbar_popup_obj_leftArrowSign	一个带有左箭头标识的墙标。
buildtoolbar_popup_obj_infirmarySign	一个带有医务室标识的墙标。
buildtoolbar_popup_obj_canteenSign	一个带有食堂标识的墙标。
buildtoolbar_popup_obj_showerSign	一个带有淋浴间标识的墙标。
buildtoolbar_popup_obj_armourySign	一个带有枪械库标识的墙标。
buildtoolbar_popup_obj_jaildoorred	彩色监狱门，有助于标记重刑犯牢房。
buildtoolbar_popup_obj_jaildoorgrey	彩色监狱门，有助于标记轻刑犯牢房。
buildtoolbar_popup_obj_jaildoororange	彩色监狱门，有助于标记中刑犯牢房。
buildtoolbar_popup_obj_jaildooryellow	彩色监狱门，有助于标记重点保护牢房。
buildtoolbar_popup_obj_jaildoorlargered	大型彩色监狱门，有助于标记重刑犯牢房。
buildtoolbar_popup_obj_jaildoorlargegrey	大型彩色监狱门，有助于标记轻刑犯牢房。
buildtoolbar_popup_obj_jaildoorlargeorange	大型彩色监狱门，有助于标记中刑犯牢房。
buildtoolbar_popup_obj_jaildoorlargeYellow	大型彩色监狱门，有助于标记重点保护牢房。
buildtoolbar_popup_obj_coatstand	放置员工大衣和帽子的地方。
buildtoolbar_popup_obj_dogbowl	为疲劳的警犬提供水和食物。\n少量增加狗的耐力。
buildtoolbar_popup_obj_secretdoor	一扇伪装成书柜的暗门，可推开供员工通过。
buildtoolbar_popup_obj_parkbench	一条室外公园板凳。
buildtoolbar_popup_obj_fencegateguard	一扇看起来很棒的带栅栏的大门，仅限警卫可以打开。
buildtoolbar_popup_obj_oaktable	可以在这里吃饭。
buildtoolbar_popup_obj_oakbench	可以坐在上面，搭配橡木桌会很棒。

buildtoolbar_popup_obj_classic	原来的警犬，年老但经验丰富。
buildtoolbar_popup_obj_dalmation	原来在农场生活，但现在在预防出逃区工作。
buildtoolbar_popup_obj_husky	对于在雪地穿行的逃犯而言，这是致命的陷阱。
buildtoolbar_popup_obj_companion	警卫最好的朋友
buildtoolbar_popup_obj_cat	并非每个人都喜欢狗。
buildtoolbar_popup_obj_direwoof	谁会试图逃跑？

buildtoolbar_popup_filter_mostused	最常用
buildtoolbar_caters_safety	满足安全需求。

interfacedeployment_orderly	分配护理人员
buildtoolbar_deployment_orderly	将护理人员分配至你监狱里的区块。

interfacedeployment_orderlypatrols	分配护理人员
buildtoolbar_deployment_orderlypatrols	将护理人员分配至你监狱的巡逻路线。

room_PaddedCell	软垫牢房
room_PaddedHoldingCell	软垫拘留牢房
room_PsychiatristOffice	精神科医生办公室

interfaceplanning_BuildPlan	建造规划
interfaceplanning_ClearPlan	清除规划
interfaceplanning_Door	门

buildtoolbar_improvement	- 升级*R
buildtoolbar_improvement_windows	（面向外部时）

buildplan_title	选择墙壁类型
buildplan_message	准备好按照你的规划建造了吗？\n	此操作无法撤消。\n\n	所有规划墙壁都将使用相同的墙壁类型进行建造。\n	墙壁类型选择可在下方更改。
clearplan_title	清除规划
clearplan_message	确定要清除所有已绘制的规划吗？\n\n	此操作无法撤销。

d11_custom_planning	自定义规划

buildtoolbar_popup_planning	对监狱进行规划，在你准备好之前不必担心工人会进行任何实际工作。通过规划菜单，你可以选择建造所有规划的建筑结构和门、从规划中清除区块，或清除整个规划并重新开始。

buildtoolbar_popup_help_planningDoor_1	在规划中放置门时，将会使用选定的门类型。
buildtoolbar_popup_help_quickBuildWall_1	选定的墙壁类型将用于下一次快速建造

buildtoolbar_popup_mat_blueclassywall	在地基上建造高级墙壁，以创建新的员工区域或房间。
buildtoolbar_popup_mat_burgundyclassywall	在地基上建造高级墙壁，以创建新的员工区域或房间。
buildtoolbar_popup_mat_greenclassywall	在地基上建造高级墙壁，以创建新的员工区域或房间。

buildtoolbar_popup_obj_windowclassy	让外观看起来远好于实际状态。
buildtoolbar_popup_obj_windowclassyLarge	让外观看起来远好于实际状态。
buildtoolbar_popup_obj_gravestone	在你的监狱中每发生一起死亡事件就会提供一块墓碑。

buildtoolbar_popup_staff_psychiatrist	一名高级员工，定期为犯罪精神病囚犯提供咨询服务。\n一旦我们在监狱中设置了心理咨询方案，精神科医生便会定期提供一对一咨询服务，以帮助安抚我们的犯罪精神病囚犯。\n如果我们有很多犯罪精神病囚犯，我们应该聘用一些精神科医生来帮助他们。确保每位精神科医生都有自己的办公室。

buildtoolbar_popup_staff_orderly	医务人员，受过特殊训练，能处理犯罪精神病人。
buildtoolbar_popup_obj_leatherchair	搭配皮革沙发。非常适合员工坐下，当然也非常适合囚犯。

buildtoolbar_popup_obj_rorschachTest	在精神科医生办公室里添加罗夏测试，可改善精神科医生对犯罪精神病囚犯的治疗
buildtoolbar_popup_obj_anatomyModel	在精神科医生办公室里添加解剖模型，可改善精神科医生对犯罪精神病囚犯的治疗。
buildtoolbar_popup_obj_flipboard	在精神科医生办公室里添加带有大脑图像的翻转板，可改善精神科医生对犯罪精神病囚犯的治疗。
buildtoolbar_popup_obj_medicineCabinetPsych	在精神科医生办公室里添加医药箱，可改善精神科医生对犯罪精神病囚犯的治疗。
buildtoolbar_popup_obj_leatherchair	搭配皮革沙发。非常适合员工坐下，当然也非常适合囚犯。
buildtoolbar_popup_obj_leatherSofa	在精神科医生办公室里添加经典皮革沙发，可改善精神科医生对犯罪精神病囚犯的治疗。

buildtoolbar_deployment_insaneseczone	只有犯罪精神病囚犯能够进入此区块。

failuremessage_maximumcountreachedgeneric	放置数量已达上限

buildtoolbar_popup_locked_PsychiatricConsultation	*B 次精神治疗后解锁
buildtoobar_PsychConItemImproveInfo	- 升级精神科医生办公室。
buildtoobar_PsychConItemImproveSuppression	- 咨询结束后，该犯罪精神病囚犯的\n压抑和某些需求降低 +5%
buildtoobar_PsychConItemImproveGrace	- 咨询结束后，在其压抑和某些需求再次上升之前，\n为该犯罪精神病囚犯\n提供 1 天的额外“宽限”期。
buildtoolbar_popup_obj_Footbridge	允许囚犯和员工穿过陆地和水域。无法在墙壁、栅栏和其他建筑物上建造。
buildtoolbar_popup_obj_FootbridgeSteel	允许囚犯和员工穿过陆地和水域。无法在墙壁、栅栏和其他建筑物上建造。
buildtoolbar_popup_obj_FootbridgeB	允许囚犯和员工穿过陆地和水域。无法在墙壁、栅栏和其他建筑物上建造。
buildtoolbar_popup_obj_FootbridgeSteelB	允许囚犯和员工穿过陆地和水域。无法在墙壁、栅栏和其他建筑物上建造。
buildtoolbar_popup_obj_BoomBoxRoundHouse	在监狱中度日如年，讓囚犯聽他们最愛的男團音樂。可以使同一個房間內的囚犯略微快樂。

# =============================================================================
# Room - Names
# =============================================================================

room_PaddedSolitary	软垫禁闭室

# =============================================================================
# Room - Description
# =============================================================================

buildtoolbar_popup_room_paddedcell	适用于犯罪精神病囚犯，软垫墙壁能产生安抚效果。
buildtoolbar_popup_room_paddedholdingcell	永久性软垫牢房准备好之前，新来的犯罪精神病囚犯会放置在这里。
buildtoolbar_popup_room_paddedsolitary	专门针对穷凶极恶的犯罪精神病囚犯的隔离惩戒牢房。

# =============================================================================
# Quick Build - Names
# =============================================================================

quickbuild_paddedbasiccell	软垫（小）
quickbuild_paddedintermediatecell	软垫（中）
quickbuild_paddedholdingcell	软垫拘留牢房
quickbuild_paddedsolitarycell	软垫禁闭室
quickbuild_PsychiatristOffice	精神科医生办公室

# =============================================================================
# Interface Mode
# =============================================================================

interfacedeployment_insaneseczone	精神病设防区
interfacetopbar_PrisonerCells_insaneSecOnly	犯罪精神病人容量：*X

roomgrading_PsychiatristOffice_info	在精神科医生办公室解锁并放置额外物品，以提高对于犯罪精神病囚犯的治疗效果。\n
Items	通过精神病罪犯参加心理咨询计划解锁。
roomgrading_PsychiatristOffice_Item	项目：*X
roomgrading_PsychiatristOffice_Quality	精神科医生能力：*Q
roomgrading_PsychiatristOffice_Upgrade	升级精神科医生办公室，以提高他们的能力。

roomgrading_score_average	平均
roomgrading_score_good	好
roomgrading_score_verygood	非常好
